"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","color_img","silhouette_image","subtitle","testimonial1_signature","testimonial2_img","testimonial2_signature","testimonial1_img","description","short_description","meta_keyword","custom_layout_update","material","occasion","testimonial1","testimonial2","color","season","price","special_price","msrp","status","visibility","tax_class_id","display_oos","enable_googlecheckout","size","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled","weight","is_recurring","backstock_preorders","recurring_profile","preorderdescript","preorder"
"admin","ca,usa","clothing","configurable","","A15620-BLK","1","ZORN","","","/a/1/a15620_zorn_24738.jpg","/z/o/zorn_.jpg","/a/1/a15620_zorn_24738.jpg","zorn","zorn","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/b/l/black_1_48.jpg","no_selection","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Black","Fall","740.0000","","","Disabled","Catalog, Search","Taxable Goods","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","ZORN","0","configurable","","","","","","","","","","","","",""
"admin","","","","","A15620-BLK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/l/black_1_48.jpg","","0","1","","","","","",""
"admin","","","","","A15620-BLK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/1/a15620_zorn_24735.jpg","","2","0","","","","","",""
"admin","","","","","A15620-BLK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/1/a15620_zorn_24740.jpg","","3","0","","","","","",""
"admin","ca,usa","clothing","configurable","","A15620-STL","1","ZORN","","","/g/r/grey_dress_front.jpg","/g/r/grey_dress_move_.jpg","/g/r/grey_dress_front.jpg","zorn","zorn-8808","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","/s/t/steel_5.jpg","no_selection","FALL 2015","","","","","<br/><br/><li/> Round neck crepe jersey dress
<br/><li/> Long-sleeved
<br/><li/> Structured jersey details at cuffs and hemline
<br/><li/> Side slits
<br/><li/> Fits true to size
<br/><li/> Semi-fitted cut
<br/><li/> Slips on
<br/><li/> Fabrication: Montreal, Canada
<br/><li/> 100% viscose
","","","","Crepe","Daywear","","","Grey","Fall","740.0000","","","Disabled","Catalog, Search","Taxable Goods","Yes","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","ZORN","0","configurable","","","","","","","","","","","","",""
"admin","","","","","A15620-STL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/s/t/steel_5.jpg","","0","1","","","","","",""
"admin","","","","","A15620-STL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/1/a15620_zorn_28599.jpg","","1","1","","","","","",""
"admin","","","","","A15620-STL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/1/a15620_zorn_28602.jpg","","2","1","","","","","",""
"admin","","","","","A15620-STL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/g/r/grey_dress_dos.jpg","","2","0","","","","","",""
"admin","ca,usa","clothing","simple","","A15620-BLK-0","0","ZORN-0","","","","","","zorn-0","zorn-0","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","no_selection","no_selection","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Black","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","0","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2020-03-24 18:51:11","","1","0","1","1","1","0.0000","1","0","0","1","1","ZORN-0","0","simple","","","","","","","","1.0000","No","","","",""
"admin","ca,usa","clothing","simple","","A15620-BLK-1","0","ZORN-1","","","","","","zorn-1","zorn-1","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","no_selection","no_selection","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Black","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","1","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","ZORN-1","0","simple","","","","","","","","1.0000","No","","","",""
"admin","ca,usa","clothing","simple","","A15620-BLK-2","0","ZORN-2","","","","","","zorn-2","zorn-2","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","no_selection","no_selection","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Black","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","2","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2020-03-24 18:51:11","","1","0","1","1","1","0.0000","1","0","0","1","1","ZORN-2","0","simple","","","","","","","","1.0000","No","","","",""
"admin","ca,usa","clothing","simple","","A15620-BLK-3","0","ZORN-3","","","","","","zorn-3","zorn-3","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","no_selection","no_selection","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Black","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","3","","","","","","","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","ZORN-3","0","simple","","","","","","","","1.0000","No","","","",""
"admin","ca,usa","clothing","simple","","A15620-BLK-4","0","ZORN-4","","","","","","zorn-4","zorn-4","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","no_selection","no_selection","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Black","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","4","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","ZORN-4","0","simple","","","","","","","","1.0000","No","","","",""
"admin","ca,usa","clothing","simple","","A15620-BLK-5","0","ZORN-5","","","","","","zorn-5","zorn-5","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","no_selection","no_selection","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Black","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","5","","","","","","","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","ZORN-5","0","simple","","","","","","","","1.0000","No","","","",""
"admin","ca,usa","clothing","simple","","A15620-STL-0","0","ZORN-0","","","","","","zorn-0","zorn-8802","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Grey","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","0","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2020-03-24 18:51:11","","1","0","1","1","1","0.0000","1","0","0","1","1","ZORN-0","0","simple","","","","","","","","1.0000","No","","","",""
"admin","ca,usa","clothing","simple","","A15620-STL-1","0","ZORN-1","","","","","","zorn-1","zorn-8803","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","no_selection","no_selection","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Grey","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","1","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2021-02-26 21:59:34","","1","0","1","1","1","0.0000","1","0","0","1","1","ZORN-1","0","simple","","","","","","","","1.0000","No","0","","",""
"admin","ca,usa","clothing","simple","","A15620-STL-2","0","ZORN-2","","","","","","zorn-2","zorn-8804","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","","FALL 2015","","","","","Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
","","","","Crepe","Daywear","","","Grey","Fall","740.0000","","","Enabled","Not Visible Individually","Taxable Goods","","","2","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2020-03-24 18:51:11","","1","0","1","1","1","0.0000","1","0","0","1","1","ZORN-2","0","simple","","","","","","","","1.0000","No","","","",""
